Event,Course,Gender,Time,Meet,Age Group
100 Breast,LCM,Female,1:19.49,YMCA Nationals (LC Meet),Open
100 Breast,SCY,Female,1:08.99,YMCA Nationals (LC Meet),Open
100 Breast,LCM,Male,1:08.29,YMCA Nationals (LC Meet),Open
100 Breast,SCY,Male,1:01.49,YMCA Nationals (LC Meet),Open
200 Breast,LCM,Female,2:52.49,YMCA Nationals (LC Meet),Open
200 Breast,SCY,Female,2:29.79,YMCA Nationals (LC Meet),Open
200 Breast,LCM,Male,2:29.29,YMCA Nationals (LC Meet),Open
200 Breast,SCY,Male,2:14.49,YMCA Nationals (LC Meet),Open
100 Fly,LCM,Female,1:07.59,YMCA Nationals (LC Meet),Open
100 Fly,SCY,Female,59.29,YMCA Nationals (SC Meet),Open
100 Fly,LCM,Male,59.29,YMCA Nationals (LC Meet),Open
100 Fly,SCY,Male,53.39,YMCA Nationals (LC Meet),Open
200 Fly,LCM,Female,2:32.59,YMCA Nationals (LC Meet),Open
200 Fly,SCY,Female,2:12.99,YMCA Nationals (LC Meet),Open
200 Fly,LCM,Male,2:12.79,YMCA Nationals (LC Meet),Open
200 Fly,SCY,Male,1:59.59,YMCA Nationals (LC Meet),Open
200 IM,LCM,Female,2:32.79,YMCA Nationals (LC Meet),Open
200 IM,SCY,Female,2:11.99,YMCA Nationals (LC Meet),Open
200 IM,LCM,Male,2:12.79,YMCA Nationals (LC Meet),Open
200 IM,SCY,Male,1:59.59,YMCA Nationals (LC Meet),Open
400 IM,LCM,Female,5:20.99,YMCA Nationals (LC Meet),Open
400 IM,SCY,Female,4:40.99,YMCA Nationals (LC Meet),Open
400 IM,LCM,Male,4:47.09,YMCA Nationals (LC Meet),Open
400 IM,SCY,Male,4:18.59,YMCA Nationals (LC Meet),Open
50 Free,LCM,Female,29.09,Age Group Champs,13-14
50 Free,SCY,Female,25.29,Age Group Champs,13-14
50 Free,LCM,Male,27.59,Age Group Champs,13-14
50 Free,SCY,Male,23.99,Age Group Champs,13-14
100 Free,LCM,Female,1:03.29,Age Group Champs,13-14
100 Free,SCY,Female,55.19,Age Group Champs,13-14
100 Free,LCM,Male,59.89,Age Group Champs,13-14
100 Free,SCY,Male,51.89,Age Group Champs,13-14
200 Free,LCM,Female,2:19.49,Age Group Champs,13-14
200 Free,SCY,Female,1:59.99,Age Group Champs,13-14
200 Free,LCM,Male,2:12.19,Age Group Champs,13-14
200 Free,SCY,Male,1:54.99,Age Group Champs,13-14
400 Free,LCM,Female,4:55.39,Age Group Champs,13-14
500 Free,SCY,Female,5:23.09,Age Group Champs,13-14
400 Free,LCM,Male,4:38.49,Age Group Champs,13-14
500 Free,SCY,Male,4:59.19,Age Group Champs,13-14
800 Free,LCM,Female,10:10.19,Age Group Champs,13-14
