Event,Course,Gender,Time,Meet,Age Group
200 IM,SCY,Male,2:35.99,Capital Classic,12&U
200 IM,LCM,Male,2:58.99,Capital Classic,12&U
400 IM,SCY,Female,5:45.99,Capital Classic,12&U
400 IM,LCM,Female,6:32.99,Capital Classic,12&U
400 IM,SCY,Male,5:28.99,Capital Classic,12&U
400 IM,LCM,Male,6:20.99,Capital Classic,12&U
50 Free,SCY,Female,27.09,Capital Classic,13-14
50 Free,SCY,Female,26.79,Capital Classic,15&O
50 Free,LCM,Female,30.99,Capital Classic,13-14
50 Free,LCM,Female,30.79,Capital Classic,15&O
50 Free,SCY,Male,24.79,Capital Classic,13-14
50 Free,SCY,Male,24.29,Capital Classic,15&O
50 Free,LCM,Male,28.99,Capital Classic,13-14
50 Free,LCM,Male,28.59,Capital Classic,15&O
100 Free,SCY,Female,57.59,Capital Classic,13-14
100 Free,SCY,Female,56.99,Capital Classic,15&O
100 Free,LCM,Female,1:06.39,Capital Classic,13-14
100 Free,LCM,Female,1:05.99,Capital Classic,15&O
100 Free,SCY,Male,53.39,Capital Classic,13-14
100 Free,SCY,Male,52.59,Capital Classic,15&O
100 Free,LCM,Male,1:01.99,Capital Classic,13-14
100 Free,LCM,Male,1:00.99,Capital Classic,15&O
200 Free,SCY,Female,2:03.29,Capital Classic,13-14
200 Free,SCY,Female,2:01.99,Capital Classic,15&O
200 Free,LCM,Female,2:20.69,Capital Classic,13-14
200 Free,LCM,Female,2:19.99,Capital Classic,15&O
200 Free,SCY,Male,1:56.19,Capital Classic,13-14
200 Free,SCY,Male,1:54.99,Capital Classic,15&O
200 Free,LCM,Male,2:13.39,Capital Classic,13-14
200 Free,LCM,Male,2:11.99,Capital Classic,15&O
500 Free,SCY,Female,5:30.99,Capital Classic,13-14
500 Free,SCY,Female,5:22.99,Capital Classic,15&O
400 Free,LCM,Female,4:59.99,Capital Classic,13-14
400 Free,LCM,Female,4:45.99,Capital Classic,15&O
500 Free,SCY,Male,5:12.89,Capital Classic,13-14
500 Free,SCY,Male,5:00.99,Capital Classic,15&O
400 Free,LCM,Male,4:46.99,Capital Classic,13-14
400 Free,LCM,Male,4:31.99,Capital Classic,15&O
1000 Free,SCY,Female,11:30.99,Capital Classic,13-14
1000 Free,SCY,Female,11:17.99,Capital Classic,15&O
800 Free,LCM,Female,10:19.99,Capital Classic,13-14
800 Free,LCM,Female,10:03.99,Capital Classic,15&O
1000 Free,SCY,Male,10:56.99,Capital Classic,13-14
1000 Free,SCY,Male,10:27.99,Capital Classic,15&O
800 Free,LCM,Male,9:54.99,Capital Classic,13-14
800 Free,LCM,Male,9:29.99,Capital Classic,15&O
1650 Free,SCY,Female,19:17.29,Capital Classic,13-14
1650 Free,SCY,Female,18:46.99,Capital Classic,15&O
1500 Free,LCM,Female,19:27.49,Capital Classic,13-14
1500 Free,LCM,Female,18:55.99,Capital Classic,15&O
1650 Free,SCY,Male,18:19.79,Capital Classic,13-14
1650 Free,SCY,Male,17:44.09,Capital Classic,15&O
1500 Free,LCM,Male,18:39.99,Capital Classic,13-14
1500 Free,LCM,Male,18:11.69,Capital Classic,15&O
100 Back,SCY,Female,1:05.69,Capital Classic,13-14
100 Back,SCY,Female,1:04.99,Capital Classic,15&O
100 Back,LCM,Female,1:17.39,Capital Classic,13-14
100 Back,LCM,Female,1:16.99,Capital Classic,15&O
100 Back,SCY,Male,1:00.69,Capital Classic,13-14
100 Back,SCY,Male,59.49,Capital Classic,15&O
100 Back,LCM,Male,1:09.89,Capital Classic,13-14
100 Back,LCM,Male,1:08.49,Capital Classic,15&O
200 Back,SCY,Female,2:26.49,Capital Classic,13-14
200 Back,SCY,Female,2:24.99,Capital Classic,15&O
200 Back,LCM,Female,2:46.89,Capital Classic,13-14
200 Back,LCM,Female,2:43.99,Capital Classic,15&O
200 Back,SCY,Male,2:18.39,Capital Classic,13-14
200 Back,SCY,Male,2:16.99,Capital Classic,15&O
200 Back,LCM,Male,2:39.59,Capital Classic,13-14
200 Back,LCM,Male,2:37.99,Capital Classic,15&O
100 Breast,SCY,Female,1:17.79,Capital Classic,13-14
100 Breast,SCY,Female,1:16.99,Capital Classic,15&O
100 Breast,LCM,Female,1:28.49,Capital Classic,13-14
100 Breast,LCM,Female,1:27.99,Capital Classic,15&O
100 Breast,SCY,Male,1:11.79,Capital Classic,13-14
100 Breast,SCY,Male,1:10.99,Capital Classic,15&O
100 Breast,LCM,Male,1:23.89,Capital Classic,13-14
100 Breast,LCM,Male,1:22.99,Capital Classic,15&O
200 Breast,SCY,Female,2:45.69,Capital Classic,13-14
200 Breast,SCY,Female,2:43.99,Capital Classic,15&O
200 Breast,LCM,Female,3:06.99,Capital Classic,13-14
200 Breast,LCM,Female,3:05.99,Capital Classic,15&O
200 Breast,SCY,Male,2:37.59,Capital Classic,13-14
200 Breast,SCY,Male,2:35.99,Capital Classic,15&O
200 Breast,LCM,Male,3:02.89,Capital Classic,13-14
200 Breast,LCM,Male,3:00.99,Capital Classic,15&O
100 Fly,SCY,Female,1:04.69,Capital Classic,13-14
100 Fly,SCY,Female,1:03.99,Capital Classic,15&O
100 Fly,LCM,Female,1:13.39,Capital Classic,13-14
100 Fly,LCM,Female,1:12.99,Capital Classic,15&O
100 Fly,SCY,Male,1:00.69,Capital Classic,13-14
100 Fly,SCY,Male,59.49,Capital Classic,15&O
100 Fly,LCM,Male,1:09.89,Capital Classic,13-14
100 Fly,LCM,Male,1:08.49,Capital Classic,15&O
200 Fly,SCY,Female,2:26.49,Capital Classic,13-14
200 Fly,SCY,Female,2:24.99,Capital Classic,15&O
200 Fly,LCM,Female,2:46.89,Capital Classic,13-14
200 Fly,LCM,Female,2:43.99,Capital Classic,15&O
200 Fly,SCY,Male,2:18.39,Capital Classic,13-14
200 Fly,SCY,Male,2:16.99,Capital Classic,15&O
200 Fly,LCM,Male,2:39.59,Capital Classic,13-14
200 Fly,LCM,Male,2:37.99,Capital Classic,15&O
200 IM,SCY,Female,2:20.39,Capital Classic,13-14
200 IM,SCY,Female,2:18.99,Capital Classic,15&O
200 IM,LCM,Female,2:41.79,Capital Classic,13-14
200 IM,LCM,Female,2:40.99,Capital Classic,15&O
200 IM,SCY,Male,2:11.29,Capital Classic,13-14
200 IM,SCY,Male,2:09.99,Capital Classic,15&O
200 IM,LCM,Male,2:32.59,Capital Classic,13-14
200 IM,LCM,Male,2:30.99,Capital Classic,15&O
400 IM,SCY,Female,4:54.99,Capital Classic,13-14
400 IM,SCY,Female,4:45.99,Capital Classic,15&O
400 IM,LCM,Female,5:36.99,Capital Classic,13-14
400 IM,LCM,Female,5:25.99,Capital Classic,15&O
400 IM,SCY,Male,4:40.59,Capital Classic,13-14
400 IM,SCY,Male,4:29.99,Capital Classic,15&O
400 IM,LCM,Male,5:18.29,Capital Classic,13-14
400 IM,LCM,Male,5:05.99,Capital Classic,15&O
50 Free,SCY,Female,23.29,Winter Junior Champs (Auto),18 and Under
50 Free,LCM,Female,26.89,Winter Junior Champs (Auto),18 and Under
50 Free,LCM,Male,24.09,Winter Junior Champs (Auto),18 and Under
50 Free,SCY,Male,20.49,Winter Junior Champs (Auto),18 and Under
100 Free,SCY,Female,50.39,Winter Junior Champs (Auto),18 and Under
100 Free,LCM,Female,58.19,Winter Junior Champs (Auto),18 and Under
100 Free,LCM,Male,52.59,Winter Junior Champs (Auto),18 and Under
100 Free,SCY,Male,44.89,Winter Junior Champs (Auto),18 and Under
200 Free,SCY,Female,1:49.09,Winter Junior Champs (Auto),18 and Under
200 Free,LCM,Female,2:04.99,Winter Junior Champs (Auto),18 and Under
200 Free,LCM,Male,1:55.29,Winter Junior Champs (Auto),18 and Under
200 Free,SCY,Male,1:38.39,Winter Junior Champs (Auto),18 and Under
400 Free,LCM,Female,4:26.69,Winter Junior Champs (Auto),18 and Under
500 Free,SCY,Female,4:53.59,Winter Junior Champs (Auto),18 and Under
400 Free,LCM,Male,4:04.99,Winter Junior Champs (Auto),18 and Under
500 Free,SCY,Male,4:28.79,Winter Junior Champs (Auto),18 and Under
800 Free,LCM,Female,9:06.79,Winter Junior Champs (Auto),18 and Under
1000 Free,SCY,Female,10:11.49,Winter Junior Champs (Auto),18 and Under
800 Free,LCM,Male,8:28.19,Winter Junior Champs (Auto),18 and Under
1000 Free,SCY,Male,9:22.69,Winter Junior Champs (Auto),18 and Under
1500 Free,LCM,Female,17:26.79,Winter Junior Champs (Auto),18 and Under
1650 Free,SCY,Female,17:02.19,Winter Junior Champs (Auto),18 and Under
1500 Free,LCM,Male,16:14.79,Winter Junior Champs (Auto),18 and Under
1650 Free,SCY,Male,15:40.39,Winter Junior Champs (Auto),18 and Under
100 Back,SCY,Female,55.09,Winter Junior Champs (Auto),18 and Under
100 Back,LCM,Female,1:04.79,Winter Junior Champs (Auto),18 and Under
100 Back,LCM,Male,58.79,Winter Junior Champs (Auto),18 and Under
100 Back,SCY,Male,49.19,Winter Junior Champs (Auto),18 and Under
200 Back,SCY,Female,1:59.39,Winter Junior Champs (Auto),18 and Under
200 Back,LCM,Female,2:19.59,Winter Junior Champs (Auto),18 and Under
200 Back,LCM,Male,2:08.29,Winter Junior Champs (Auto),18 and Under
200 Back,SCY,Male,1:47.79,Winter Junior Champs (Auto),18 and Under
100 Breast,SCY,Female,1:03.09,Winter Junior Champs (Auto),18 and Under
100 Breast,LCM,Female,1:13.79,Winter Junior Champs (Auto),18 and Under
100 Breast,LCM,Male,1:05.89,Winter Junior Champs (Auto),18 and Under
100 Breast,SCY,Male,55.49,Winter Junior Champs (Auto),18 and Under
200 Breast,SCY,Female,2:17.19,Winter Junior Champs (Auto),18 and Under
200 Breast,LCM,Female,2:38.59,Winter Junior Champs (Auto),18 and Under
200 Breast,LCM,Male,2:24.09,Winter Junior Champs (Auto),18 and Under
200 Breast,SCY,Male,2:01.59,Winter Junior Champs (Auto),18 and Under
100 Fly,SCY,Female,54.69,Winter Junior Champs (Auto),18 and Under
100 Fly,LCM,Female,1:02.69,Winter Junior Champs (Auto),18 and Under
100 Fly,LCM,Male,56.49,Winter Junior Champs (Auto),18 and Under
100 Fly,SCY,Male,48.69,Winter Junior Champs (Auto),18 and Under
200 Fly,SCY,Female,2:01.69,Winter Junior Champs (Auto),18 and Under
200 Fly,LCM,Female,2:18.39,Winter Junior Champs (Auto),18 and Under
200 Fly,LCM,Male,2:06.39,Winter Junior Champs (Auto),18 and Under
200 Fly,SCY,Male,1:49.09,Winter Junior Champs (Auto),18 and Under
200 IM,SCY,Female,2:02.19,Winter Junior Champs (Auto),18 and Under
200 IM,LCM,Female,2:22.09,Winter Junior Champs (Auto),18 and Under
200 IM,LCM,Male,2:09.29,Winter Junior Champs (Auto),18 and Under
200 IM,SCY,Male,1:49.59,Winter Junior Champs (Auto),18 and Under
400 IM,SCY,Female,4:21.69,Winter Junior Champs (Auto),18 and Under
400 IM,LCM,Female,5:00.29,Winter Junior Champs (Auto),18 and Under
400 IM,LCM,Male,4:35.89,Winter Junior Champs (Auto),18 and Under
400 IM,SCY,Male,3:56.49,Winter Junior Champs (Auto),18 and Under
50 Free,SCY,Female,23.89,Winter Junior Champs (Bonus),18 and Under
50 Free,LCM,Female,27.39,Winter Junior Champs (Bonus),18 and Under
50 Free,LCM,Male,24.59,Winter Junior Champs (Bonus),18 and Under
50 Free,SCY,Male,21.29,Winter Junior Champs (Bonus),18 and Under
100 Free,SCY,Female,51.89,Winter Junior Champs (Bonus),18 and Under
100 Free,LCM,Female,59.29,Winter Junior Champs (Bonus),18 and Under
100 Free,LCM,Male,53.59,Winter Junior Champs (Bonus),18 and Under
100 Free,SCY,Male,46.39,Winter Junior Champs (Bonus),18 and Under
200 Free,SCY,Female,1:52.29,Winter Junior Champs (Bonus),18 and Under
200 Free,LCM,Female,2:07.79,Winter Junior Champs (Bonus),18 and Under
200 Free,LCM,Male,1:57.79,Winter Junior Champs (Bonus),18 and Under
200 Free,SCY,Male,1:41.59,Winter Junior Champs (Bonus),18 and Under
400 Free,LCM,Female,4:28.79,Winter Junior Champs (Bonus),18 and Under
500 Free,SCY,Female,5:02.59,Winter Junior Champs (Bonus),18 and Under
400 Free,LCM,Male,4:09.99,Winter Junior Champs (Bonus),18 and Under
500 Free,SCY,Male,4:37.09,Winter Junior Champs (Bonus),18 and Under
800 Free,LCM,Female,9:13.79,Winter Junior Champs (Bonus),18 and Under
1000 Free,SCY,Female,10:20.49,Winter Junior Champs (Bonus),18 and Under
800 Free,LCM,Male,8:40.69,Winter Junior Champs (Bonus),18 and Under
1000 Free,SCY,Male,9:34.29,Winter Junior Champs (Bonus),18 and Under
1500 Free,LCM,Female,17:40.19,Winter Junior Champs (Bonus),18 and Under
1650 Free,SCY,Female,17:14.39,Winter Junior Champs (Bonus),18 and Under
1500 Free,LCM,Male,16:38.99,Winter Junior Champs (Bonus),18 and Under
1650 Free,SCY,Male,16:05.49,Winter Junior Champs (Bonus),18 and Under
100 Back,SCY,Female,57.09,Winter Junior Champs (Bonus),18 and Under
100 Back,LCM,Female,1:06.79,Winter Junior Champs (Bonus),18 and Under
100 Back,LCM,Male,1:00.59,Winter Junior Champs (Bonus),18 and Under
100 Back,SCY,Male,51.49,Winter Junior Champs (Bonus),18 and Under
200 Back,SCY,Female,2:04.19,Winter Junior Champs (Bonus),18 and Under
200 Back,LCM,Female,2:23.99,Winter Junior Champs (Bonus),18 and Under
200 Back,LCM,Male,2:11.89,Winter Junior Champs (Bonus),18 and Under
200 Back,SCY,Male,1:52.79,Winter Junior Champs (Bonus),18 and Under
100 Breast,SCY,Female,1:05.49,Winter Junior Champs (Bonus),18 and Under
100 Breast,LCM,Female,1:15.99,Winter Junior Champs (Bonus),18 and Under
100 Breast,LCM,Male,1:08.19,Winter Junior Champs (Bonus),18 and Under
100 Breast,SCY,Male,57.99,Winter Junior Champs (Bonus),18 and Under
200 Breast,SCY,Female,2:22.69,Winter Junior Champs (Bonus),18 and Under
200 Breast,LCM,Female,2:43.39,Winter Junior Champs (Bonus),18 and Under
200 Breast,LCM,Male,2:29.09,Winter Junior Champs (Bonus),18 and Under
200 Breast,SCY,Male,2:07.99,Winter Junior Champs (Bonus),18 and Under
100 Fly,SCY,Female,56.59,Winter Junior Champs (Bonus),18 and Under
100 Fly,LCM,Female,1:04.69,Winter Junior Champs (Bonus),18 and Under
100 Fly,LCM,Male,57.99,Winter Junior Champs (Bonus),18 and Under
100 Fly,SCY,Male,50.59,Winter Junior Champs (Bonus),18 and Under
200 Fly,SCY,Female,2:05.39,Winter Junior Champs (Bonus),18 and Under
200 Fly,LCM,Female,2:21.89,Winter Junior Champs (Bonus),18 and Under
200 Fly,LCM,Male,2:10.19,Winter Junior Champs (Bonus),18 and Under
200 Fly,SCY,Male,1:53.69,Winter Junior Champs (Bonus),18 and Under
200 IM,SCY,Female,2:06.39,Winter Junior Champs (Bonus),18 and Under
200 IM,LCM,Female,2:26.19,Winter Junior Champs (Bonus),18 and Under
200 IM,LCM,Male,2:12.79,Winter Junior Champs (Bonus),18 and Under
200 IM,SCY,Male,1:53.89,Winter Junior Champs (Bonus),18 and Under
400 IM,SCY,Female,4:30.69,Winter Junior Champs (Bonus),18 and Under
400 IM,LCM,Female,5:07.29,Winter Junior Champs (Bonus),18 and Under
400 IM,LCM,Male,4:42.39,Winter Junior Champs (Bonus),18 and Under
400 IM,SCY,Male,4:06.99,Winter Junior Champs (Bonus),18 and Under
50 Free,LCM,Female,35.99,Age Group Champs,10-Under
50 Free,LCM,Female,30.89,Age Group Champs,11-12
50 Free,LCM,Male,36.29,Age Group Champs,10-Under
50 Free,LCM,Male,30.79,Age Group Champs,11-12
50 Free,SCY,Female,31.49,Age Group Champs,10-Under
50 Free,SCY,Female,27.19,Age Group Champs,11-12
50 Free,SCY,Male,31.49,Age Group Champs,10-Under
50 Free,SCY,Male,26.99,Age Group Champs,11-12
100 Free,LCM,Female,1:19.99,Age Group Champs,10-Under
100 Free,LCM,Female,1:07.69,Age Group Champs,11-12
100 Free,LCM,Male,1:20.89,Age Group Champs,10-Under
100 Free,LCM,Male,1:07.79,Age Group Champs,11-12
100 Free,SCY,Female,1:10.29,Age Group Champs,10-Under
100 Free,SCY,Female,58.79,Age Group Champs,11-12
100 Free,SCY,Male,1:10.29,Age Group Champs,10-Under
100 Free,SCY,Male,58.49,Age Group Champs,11-12
200 Free,LCM,Female,2:55.89,Age Group Champs,10-Under
200 Free,LCM,Female,2:27.99,Age Group Champs,11-12
200 Free,LCM,Male,2:54.29,Age Group Champs,10-Under
200 Free,LCM,Male,2:27.69,Age Group Champs,11-12
200 Free,SCY,Female,2:32.99,Age Group Champs,10-Under
200 Free,SCY,Female,2:09.59,Age Group Champs,11-12
200 Free,SCY,Male,2:32.29,Age Group Champs,10-Under
200 Free,SCY,Male,2:08.79,Age Group Champs,11-12
400 Free,LCM,Female,5:54.29,Age Group Champs,10-Under
400 Free,LCM,Female,5:17.29,Age Group Champs,11-12
400 Free,LCM,Male,5:51.49,Age Group Champs,10-Under
400 Free,LCM,Male,5:20.39,Age Group Champs,11-12
500 Free,SCY,Female,6:27.49,Age Group Champs,10-Under
500 Free,SCY,Female,5:48.29,Age Group Champs,11-12
500 Free,SCY,Male,6:24.29,Age Group Champs,10-Under
500 Free,SCY,Male,5:49.19,Age Group Champs,11-12
50 Back,LCM,Female,43.19,Age Group Champs,10-Under
50 Back,LCM,Female,36.19,Age Group Champs,11-12
50 Back,LCM,Male,42.69,Age Group Champs,10-Under
50 Back,LCM,Male,35.39,Age Group Champs,11-12
50 Back,SCY,Female,36.09,Age Group Champs,10-Under
50 Back,SCY,Female,31.29,Age Group Champs,11-12
50 Back,SCY,Male,37.19,Age Group Champs,10-Under
50 Back,SCY,Male,30.89,Age Group Champs,11-12
100 Back,LCM,Female,1:33.49,Age Group Champs,10-Under
100 Back,LCM,Female,1:17.19,Age Group Champs,11-12
100 Back,LCM,Male,1:33.79,Age Group Champs,10-Under
100 Back,LCM,Male,1:18.69,Age Group Champs,11-12
100 Back,SCY,Female,1:20.09,Age Group Champs,10-Under
100 Back,SCY,Female,1:07.19,Age Group Champs,11-12
100 Back,SCY,Male,1:20.99,Age Group Champs,10-Under
100 Back,SCY,Male,1:07.89,Age Group Champs,11-12
200 Back,LCM,Female,2:51.39,Age Group Champs,11-12
200 Back,LCM,Female,2:35.69,Age Group Champs,13-14
200 Back,LCM,Male,2:51.09,Age Group Champs,11-12
200 Back,LCM,Male,2:28.79,Age Group Champs,13-14
200 Back,SCY,Female,2:27.59,Age Group Champs,11-12
200 Back,SCY,Female,2:14.49,Age Group Champs,13-14
200 Back,SCY,Male,2:24.39,Age Group Champs,11-12
200 Back,SCY,Male,2:08.79,Age Group Champs,13-14
50 Free,SCY,Female,23.08,Team Records,15-18
50 Free,SCY,Male,20.12,Team Records,15-18
100 Free,SCY,Female,50.27,Team Records,15-18
100 Free,SCY,Male,43.72,Team Records,15-18
200 Free,SCY,Female,1:48.57,Team Records,15-18
200 Free,SCY,Male,1:37.75,Team Records,15-18
500 Free,SCY,Female,4:52.33,Team Records,15-18
500 Free,SCY,Male,4:23.57,Team Records,15-18
1000 Free,SCY,Female,9:55.58,Team Records,15-18
1000 Free,SCY,Male,9:02.69,Team Records,15-18
1650 Free,SCY,Female,16:48.99,Team Records,15-18
1650 Free,SCY,Male,15:10.41,Team Records,15-18
100 Back,SCY,Female,53.77,Team Records,15-18
100 Back,SCY,Male,48.83,Team Records,15-18
200 Back,SCY,Female,1:58.79,Team Records,15-18
200 Back,SCY,Male,1:45.71,Team Records,15-18
100 Breast,SCY,Female,1:01.89,Team Records,15-18
100 Breast,SCY,Male,55.08,Team Records,15-18
200 Breast,SCY,Female,2:13.62,Team Records,15-18
200 Breast,SCY,Male,1:58.82,Team Records,15-18
100 Fly,SCY,Female,54.58,Team Records,15-18
100 Fly,SCY,Male,48.03,Team Records,15-18
200 Fly,SCY,Female,2:00.33,Team Records,15-18
200 Fly,SCY,Male,1:47.13,Team Records,15-18
200 IM,SCY,Female,2:02.13,Team Records,15-18
200 IM,SCY,Male,1:47.32,Team Records,15-18
400 IM,SCY,Female,4:19.28,Team Records,15-18
400 IM,SCY,Male,3:54.63,Team Records,15-18
200 Free Relay,SCY,Female,1:32.24,Team Records,15-18
200 Free Relay,SCY,Male,1:22.05,Team Records,15-18
400 Free Relay,SCY,Female,3:22.38,Team Records,15-18
400 Free Relay,SCY,Male,3:00.63,Team Records,15-18
800 Free Relay,SCY,Female,7:22.34,Team Records,15-18
800 Free Relay,SCY,Male,6:37.11,Team Records,15-18
200 Medley Relay,SCY,Female,1:42.58,Team Records,15-18
200 Medley Relay,SCY,Male,1:30.68,Team Records,15-18
400 Medley Relay,SCY,Female,3:44.24,Team Records,15-18
400 Medley Relay,SCY,Male,3:19.84,Team Records,15-18
50 Free,SCY,Female,23.48,Team Records,13-14
50 Free,SCY,Male,21.27,Team Records,13-14
100 Free,SCY,Female,51.51,Team Records,13-14
100 Free,SCY,Male,46.64,Team Records,13-14
200 Free,SCY,Female,1:50.40,Team Records,13-14
200 Free,SCY,Male,1:41.07,Team Records,13-14
500 Free,SCY,Female,4:59.30,Team Records,13-14
500 Free,SCY,Male,4:38.83,Team Records,13-14
1000 Free,SCY,Female,10:15.74,Team Records,13-14
1000 Free,SCY,Male,9:39.64,Team Records,13-14
1650 Free,SCY,Female,17:09.98,Team Records,13-14
1650 Free,SCY,Male,16:17.93,Team Records,13-14
100 Back,SCY,Female,55.97,Team Records,13-14
100 Back,SCY,Male,51.73,Team Records,13-14
200 Back,SCY,Female,2:00.57,Team Records,13-14
200 Back,SCY,Male,1:50.83,Team Records,13-14
100 Breast,SCY,Female,1:06.22,Team Records,13-14
100 Breast,SCY,Male,57.77,Team Records,13-14
200 Breast,SCY,Female,2:23.31,Team Records,13-14
200 Breast,SCY,Male,2:06.49,Team Records,13-14
100 Fly,SCY,Female,56.20,Team Records,13-14
100 Fly,SCY,Male,50.45,Team Records,13-14
200 Fly,SCY,Female,2:08.90,Team Records,13-14
200 Fly,SCY,Male,1:50.94,Team Records,13-14
200 IM,SCY,Female,2:08.81,Team Records,13-14
200 IM,SCY,Male,1:54.63,Team Records,13-14
400 IM,SCY,Female,4:28.21,Team Records,13-14
400 IM,SCY,Male,4:04.61,Team Records,13-14
200 Free Relay,SCY,Female,1:37.14,Team Records,13-14
200 Free Relay,SCY,Male,1:29.51,Team Records,13-14
400 Free Relay,SCY,Female,3:32.53,Team Records,13-14
400 Free Relay,SCY,Male,3:14.97,Team Records,13-14
800 Free Relay,SCY,Female,7:45.98,Team Records,13-14
800 Free Relay,SCY,Male,7:06.55,Team Records,13-14
200 Medley Relay,SCY,Female,1:49.39,Team Records,13-14
200 Medley Relay,SCY,Male,1:39.59,Team Records,13-14
400 Medley Relay,SCY,Female,3:58.05,Team Records,13-14
400 Medley Relay,SCY,Male,3:35.54,Team Records,13-14
50 Free,LCM,Female,26.5,Team Records,15-18
50 Free,LCM,Male,22.82,Team Records,15-18
100 Free,LCM,Female,57.64,Team Records,15-18
100 Free,LCM,Male,50.17,Team Records,15-18
200 Free,LCM,Female,2:01.96,Team Records,15-18
200 Free,LCM,Male,1:51.29,Team Records,15-18
400 Free,LCM,Female,4:19.77,Team Records,15-18
400 Free,LCM,Male,3:52.89,Team Records,15-18
800 Free,LCM,Female,9:00.97,Team Records,15-18
800 Free,LCM,Male,8:11.59,Team Records,15-18
1500 Free,LCM,Female,17:23.85,Team Records,15-18
1500 Free,LCM,Male,15:46.98,Team Records,15-18
100 Back,LCM,Female,1:03.32,Team Records,15-18
100 Back,LCM,Male,57.46,Team Records,15-18
200 Back,LCM,Female,2:13.42,Team Records,15-18
200 Back,LCM,Male,2:04.68,Team Records,15-18
100 Breast,LCM,Female,1:10.75,Team Records,15-18
100 Breast,LCM,Male,1:03.85,Team Records,15-18
200 Breast,LCM,Female,2:30.63,Team Records,15-18
200 Breast,LCM,Male,2:21.21,Team Records,15-18
100 Fly,LCM,Female,1:02.89,Team Records,15-18
100 Fly,LCM,Male,54.92,Team Records,15-18
200 Fly,LCM,Female,2:18.11,Team Records,15-18
200 Fly,LCM,Male,2:00.50,Team Records,15-18
200 IM,LCM,Female,2:18.11,Team Records,15-18
200 IM,LCM,Male,2:05.34,Team Records,15-18
400 IM,LCM,Female,4:59.91,Team Records,15-18
400 IM,LCM,Male,4:31.12,Team Records,15-18
200 Free Relay,LCM,Female,1:45.67,Team Records,15-18
200 Free Relay,LCM,Male,1:33.83,Team Records,15-18
400 Free Relay,LCM,Female,3:52.38,Team Records,15-18
400 Free Relay,LCM,Male,3:27.20,Team Records,15-18
800 Free Relay,LCM,Female,8:26.77,Team Records,15-18
800 Free Relay,LCM,Male,7:40.77,Team Records,15-18
200 Medley Relay,LCM,Female,1:58.28,Team Records,15-18
200 Medley Relay,LCM,Male,1:45.39,Team Records,15-18
400 Medley Relay,LCM,Female,4:20.54,Team Records,15-18
400 Medley Relay,LCM,Male,3:53.90,Team Records,15-18
50 Free,LCM,Female,26.63,Team Records,13-14
50 Free,LCM,Male,24.67,Team Records,13-14
100 Free,LCM,Female,58.15,Team Records,13-14
100 Free,LCM,Male,52.82,Team Records,13-14
200 Free,LCM,Female,2:04.49,Team Records,13-14
200 Free,LCM,Male,1:56.97,Team Records,13-14
400 Free,LCM,Female,4:25.84,Team Records,13-14
400 Free,LCM,Male,4:08.58,Team Records,13-14
800 Free,LCM,Female,9:06.52,Team Records,13-14
800 Free,LCM,Male,8:46.47,Team Records,13-14
1500 Free,LCM,Female,17:26.06,Team Records,13-14
1500 Free,LCM,Male,16:26.27,Team Records,13-14
100 Back,LCM,Female,1:06.73,Team Records,13-14
100 Back,LCM,Male,1:00.13,Team Records,13-14
200 Back,LCM,Female,2:24.32,Team Records,13-14
200 Back,LCM,Male,2:09.22,Team Records,13-14
100 Breast,LCM,Female,1:15.47,Team Records,13-14
100 Breast,LCM,Male,1:08.18,Team Records,13-14
200 Breast,LCM,Female,2:41.28,Team Records,13-14
200 Breast,LCM,Male,2:28.25,Team Records,13-14
100 Fly,LCM,Female,1:04.93,Team Records,13-14
100 Fly,LCM,Male,58.6,Team Records,13-14
200 Fly,LCM,Female,2:27.33,Team Records,13-14
200 Fly,LCM,Male,2:07.99,Team Records,13-14
200 IM,LCM,Female,2:25.52,Team Records,13-14
200 IM,LCM,Male,2:09.31,Team Records,13-14
400 IM,LCM,Female,5:10.97,Team Records,13-14
400 IM,LCM,Male,4:41.58,Team Records,13-14
200 Free Relay,LCM,Female,1:49.77,Team Records,13-14
200 Free Relay,LCM,Male,1:43.35,Team Records,13-14
400 Free Relay,LCM,Female,4:01.45,Team Records,13-14
400 Free Relay,LCM,Male,3:46.77,Team Records,13-14
800 Free Relay,LCM,Female,8:47.85,Team Records,13-14
800 Free Relay,LCM,Male,8:05.74,Team Records,13-14
200 Medley Relay,LCM,Female,2:03.32,Team Records,13-14
200 Medley Relay,LCM,Male,1:56.31,Team Records,13-14
400 Medley Relay,LCM,Female,4:31.72,Team Records,13-14
400 Medley Relay,LCM,Male,4:09.69,Team Records,13-14
50 Free,SCY,Female,28.19,RAFC Last Splash,15-Over
50 Free,LCM,Female,32.19,RAFC Last Splash,15-Over
50 Free,SCY,Female,28.89,RAFC Last Splash,14-Under
50 Free,LCM,Female,32.79,RAFC Last Splash,14-Under
50 Free,LCM,Male,30.49,RAFC Last Splash,14-Under
50 Free,SCY,Male,26.69,RAFC Last Splash,14-Under
50 Free,LCM,Male,28.89,RAFC Last Splash,15-Over
50 Free,SCY,Male,25.39,RAFC Last Splash,15-Over
100 Free,SCY,Female,1:01.49,RAFC Last Splash,15-Over
100 Free,LCM,Female,1:10.39,RAFC Last Splash,15-Over
100 Free,SCY,Female,1:02.99,RAFC Last Splash,14-Under
